"instrument","date","open","high","low","close","volume","source","complete"
"XAU_USD","2024-11-06","2745.665","2749.78","2652.405","2664.095","789163","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-07","2664.085","2710.52","2643.355","2706.985","534033","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-08","2707","2710.43","2680.415","2684.455","476913","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-10","2683.71","2685.675","2681.585","2685.585","5994","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-11","2685.57","2686.165","2610.695","2624.09","452947","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-12","2624.085","2627.235","2589.725","2599.025","485704","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-13","2599.03","2618.92","2569.375","2570.93","501950","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-14","2570.935","2577.525","2536.855","2566.98","537760","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-15","2566.975","2576.045","2554.395","2563.22","486618","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-17","2567.13","2575.555","2567.13","2571.42","8558","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-18","2571.36","2615.145","2569.92","2612.69","426317","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-19","2612.705","2639.53","2611.145","2635.19","467158","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-20","2635.16","2655.485","2618.89","2652.26","411206","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-21","2652.25","2673.595","2650.45","2669.245","393139","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-22","2669.24","2716.4","2668.9","2716.335","493995","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-24","2711.165","2721.42","2710.895","2719.9","11314","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-25","2719.905","2720.205","2605.31","2610.615","558354","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-26","2610.64","2642.02","2608.75","2632.35","439789","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-27","2632.355","2658.275","2627.125","2637.14","345329","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-28","2637.18","2649.735","2620.99","2638.845","245057","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-29","2638.85","2666.35","2634.09","2650.35","372146","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-01","2648.94","2650.36","2643.11","2645.98","7732","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-02","2645.985","2651.905","2621.98","2642.3","475409","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-03","2642.29","2655.665","2634.165","2642.86","387349","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-04","2642.855","2657.235","2632.465","2650.435","334088","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-05","2650.44","2655.635","2623.615","2633.85","289162","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-06","2633.865","2645.73","2613.11","2633.33","372083","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-08","2643.08","2648.77","2636.38","2640.165","9215","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-09","2640.14","2676.48","2627.575","2660.6","360160","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-10","2660.59","2698.43","2658.035","2696.14","338808","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-11","2696.05","2721.27","2675.465","2720.15","307150","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-12","2720.135","2726.295","2675.165","2680.795","242270","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-13","2680.815","2692.865","2646.22","2648.68","374974","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-15","2648.86","2653.12","2648.8","2651.565","3972","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-16","2651.5","2664.475","2643.595","2651.715","309067","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-17","2651.71","2658.74","2633.16","2647.555","338900","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-18","2647.54","2651.785","2583.915","2588.165","413191","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-19","2588.285","2626.44","2587.065","2593.66","432570","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-20","2593.655","2631.92","2589.665","2623.61","346244","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-22","2622.21","2624.805","2621.805","2624.405","3780","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-23","2624.475","2633.39","2608.26","2615.65","253964","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-24","2615.665","2621.535","2610.105","2616.875","190962","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-25","2615.31","2620.29","2615.145","2618.75","2514","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-26","2618.8","2639.175","2618.75","2632.78","207201","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-27","2632.785","2638.3","2611.715","2622.035","239521","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-29","2622.075","2626.31","2621.915","2624.115","3342","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-30","2624.12","2628.095","2596.185","2606.77","238989","oanda_v20_mid_utc","true"
"XAU_USD","2024-12-31","2606.745","2627.625","2602.76","2624.26","215877","oanda_v20_mid_utc","true"
"XAU_USD","2025-01-01","2625.07","2625.675","2621.775","2623.815","3107","oanda_v20_mid_utc","true"
"XAU_USD","2025-01-02","2623.81","2660.605","2622.765","2658.44","368191","oanda_v20_mid_utc","true"
"XAU_USD","2025-01-03","2658.485","2665.405","2636.705","2639.725","302988","oanda_v20_mid_utc","true"
"XAU_USD","2025-01-05","2639.88","2642.545","2639.745","2641.085","3832","oanda_v20_mid_utc","true"
"XAU_USD","2025-01-06","2641.045","2649.52","2614.635","2634.68","377311","oanda_v20_mid_utc","true"
"XAU_USD","2025-01-07","2634.7","2664.33","2633","2649.825","362615","oanda_v20_mid_utc","true"
"XAU_USD","2025-01-08","2649.75","2670.15","2645.37","2662.65","365060","oanda_v20_mid_utc","true"
