"instrument","date","open","high","low","close","volume","source","complete"
"BTCUSDT","2024-03-18","68393.47","68956","66565.2","67609.99","55691.08088","binance_spot_klines","true"
"BTCUSDT","2024-03-19","67610","68124.11","61555","61937.4","101005.32487","binance_spot_klines","true"
"BTCUSDT","2024-03-20","61937.41","68100","60775","67840.51","90420.58592","binance_spot_klines","true"
"BTCUSDT","2024-03-21","67840.51","68240.47","64529.01","65501.27","53357.48002","binance_spot_klines","true"
"BTCUSDT","2024-03-22","65501.28","66649.62","62260","63796.64","51482.37821","binance_spot_klines","true"
"BTCUSDT","2024-03-23","63796.64","65999","63000","63990.01","26410.11409","binance_spot_klines","true"
"BTCUSDT","2024-03-24","63990.02","67628.69","63772.29","67209.99","31395.78015","binance_spot_klines","true"
"BTCUSDT","2024-03-25","67210","71150","66385.06","69880.01","53431.14486","binance_spot_klines","true"
"BTCUSDT","2024-03-26","69880","71561.1","69280","69988","38934.38417","binance_spot_klines","true"
"BTCUSDT","2024-03-27","69987.99","71769.54","68359.18","69469.99","49119.35685","binance_spot_klines","true"
"BTCUSDT","2024-03-28","69469.99","71552.06","68903.62","70780.6","35439.03239","binance_spot_klines","true"
"BTCUSDT","2024-03-29","70780.6","70916.16","69009","69850.54","25445.08353","binance_spot_klines","true"
"BTCUSDT","2024-03-30","69850.53","70321.1","69540","69582.18","13644.61142","binance_spot_klines","true"
"BTCUSDT","2024-03-31","69582.17","71366","69562.99","71280.01","19396.34433","binance_spot_klines","true"
"BTCUSDT","2024-04-01","71280","71288.23","68062.86","69649.8","41445.32039","binance_spot_klines","true"
"BTCUSDT","2024-04-02","69649.81","69674.23","64550","65463.99","71799.82793","binance_spot_klines","true"
"BTCUSDT","2024-04-03","65463.99","66903.63","64493.07","65963.28","39887.21778","binance_spot_klines","true"
"BTCUSDT","2024-04-04","65963.27","69309.91","65064.52","68487.79","41510.48453","binance_spot_klines","true"
"BTCUSDT","2024-04-05","68487.8","68756.67","65952.56","67820.62","37915.23073","binance_spot_klines","true"
"BTCUSDT","2024-04-06","67820.63","69692","67447.83","68896","20134.28919","binance_spot_klines","true"
"BTCUSDT","2024-04-07","68896","70326.29","68824","69360.39","21534.74433","binance_spot_klines","true"
"BTCUSDT","2024-04-08","69360.38","72797.99","69043.24","71620","45723.87624","binance_spot_klines","true"
"BTCUSDT","2024-04-09","71620","71758.19","68210","69146","39293.90242","binance_spot_klines","true"
"BTCUSDT","2024-04-10","69146","71172.08","67518","70631.08","42006.02377","binance_spot_klines","true"
"BTCUSDT","2024-04-11","70631.08","71305.89","69567.21","70006.23","31917.25595","binance_spot_klines","true"
"BTCUSDT","2024-04-12","70006.22","71227.46","65086.86","67116.52","56072.86229","binance_spot_klines","true"
